Emoji   ... Negativ Neutral Positiv Sentiment
😂	0.805	0.247	0.285	0.468	0.221
❤️	0.747	0.044	0.166	0.790	0.746
😍	0.765	0.052	0.219	0.729	0.678
😭	0.803	0.436	0.220	0.343	-0.093
😘	0.854	0.053	0.193	0.754	0.701
😊	0.813	0.060	0.237	0.704	0.644
👌	0.805	0.094	0.249	0.657	0.563
💕	0.766	0.042	0.285	0.674	0.632
👏	0.787	0.104	0.271	0.624	0.520
😁	0.796	0.127	0.296	0.577	0.449
👍	0.812	0.115	0.248	0.637	0.521
😩	0.826	0.591	0.186	0.223	-0.368
🙏	0.794	0.081	0.421	0.498	0.417
✌🏼	0.790	0.113	0.310	0.576	0.463
😏	0.765	0.112	0.444	0.444	0.332
😉	0.845	0.100	0.337	0.563	0.463
🙌	0.791	0.101	0.238	0.661	0.559
🙈	0.739	0.164	0.241	0.596	0.432
💪	0.807	0.072	0.301	0.627	0.555
😄	0.795	0.137	0.305	0.558	0.421
😒	0.858	0.591	0.192	0.217	-0.374
💃	0.853	0.045	0.177	0.779	0.734
💖	0.762	0.043	0.201	0.755	0.712
😃	0.735	0.072	0.299	0.629	0.557
😔	0.866	0.464	0.219	0.318	-0.146
😱	0.773	0.264	0.282	0.454	0.190
🎉	0.744	0.039	0.184	0.777	0.738
😜	0.822	0.112	0.322	0.566	0.455
☯️	0.384	0.006	0.987	0.007	0.001
🌸	0.570	0.040	0.270	0.690	0.650
💜	0.731	0.045	0.257	0.699	0.654
💙	0.703	0.033	0.204	0.763	0.730
✨	0.560	0.052	0.545	0.403	0.351
😳	0.797	0.327	0.327	0.345	0.018
💗	0.800	0.051	0.241	0.708	0.657
⭐️	0.353	0.031	0.655	0.314	0.283
❄️	0.546	0.028	0.479	0.493	0.465
😡	0.862	0.532	0.108	0.360	-0.173
😎	0.766	0.106	0.297	0.597	0.491
😢	0.814	0.384	0.225	0.391	0.007
💋	0.801	0.039	0.231	0.730	0.691
😋	0.765	0.046	0.277	0.677	0.631
🙊	0.741	0.135	0.272	0.593	0.459
😴	0.850	0.422	0.237	0.341	-0.080
🎶	0.797	0.097	0.270	0.634	0.537
💞	0.829	0.041	0.180	0.780	0.739
😌	0.847	0.141	0.237	0.623	0.482
🔥	0.616	0.124	0.613	0.263	0.139
💯	0.872	0.281	0.317	0.402	0.120
🔫	0.894	0.493	0.209	0.298	-0.194
💛	0.752	0.043	0.205	0.752	0.709
💁	0.840	0.192	0.290	0.518	0.326
💚	0.737	0.078	0.189	0.733	0.656
🎵	0.397	0.063	0.586	0.351	0.287
😞	0.825	0.479	0.161	0.361	-0.118
😆	0.809	0.155	0.281	0.564	0.409
😝	0.809	0.132	0.313	0.555	0.423
😪	0.858	0.431	0.219	0.351	-0.080
😫	0.840	0.485	0.174	0.340	-0.145
😅	0.828	0.292	0.237	0.471	0.178
👊	0.825	0.265	0.243	0.492	0.228
💀	0.739	0.468	0.270	0.261	-0.207
😀	0.786	0.086	0.260	0.654	0.568
😚	0.853	0.049	0.192	0.759	0.710
😻	0.730	0.069	0.243	0.688	0.619
©️	0.740	0.131	0.621	0.248	0.117
👀	0.759	0.228	0.482	0.291	0.063
💘	0.785	0.048	0.221	0.731	0.683
🐓	0.491	0.109	0.755	0.137	0.028
👋	0.798	0.158	0.270	0.571	0.413
✋	0.838	0.328	0.218	0.454	0.126
🎊	0.724	0.057	0.164	0.779	0.721
🍕	0.545	0.056	0.470	0.473	0.417
😥	0.882	0.317	0.244	0.439	0.122
😕	0.857	0.601	0.195	0.204	-0.397
💥	0.587	0.072	0.708	0.220	0.148
💔	0.836	0.414	0.293	0.293	-0.121
😤	0.884	0.479	0.252	0.270	-0.209
😈	0.762	0.204	0.326	0.470	0.265
▶️	0.516	0.125	0.588	0.287	0.162
✈️	0.522	0.043	0.498	0.458	0.415
🔝	0.798	0.088	0.350	0.562	0.474
😰	0.882	0.317	0.244	0.439	0.122
👿	0.911	0.658	0.219	0.123	-0.534
☹️	0.777	0.652	0.217	0.130	-0.522
🔋	0.583	0.622	0.243	0.135	-0.486
✂️	0.810	0.574	0.311	0.115	-0.459
🚫	0.703	0.538	0.363	0.099	-0.440
📌	0.799	0.600	0.200	0.200	-0.400
😕	0.857	0.601	0.195	0.204	-0.397
😐	0.883	0.553	0.282	0.165	-0.388
🔧	0.677	0.625	0.125	0.250	-0.375
😒	0.858	0.591	0.192	0.217	-0.374
😿	0.812	0.577	0.219	0.204	-0.372
😩	0.826	0.591	0.186	0.223	-0.368
😦	0.882	0.544	0.281	0.175	-0.368
👮	0.742	0.478	0.391	0.130	-0.348
😾	0.915	0.583	0.167	0.250	-0.333
🍈	0.521	0.583	0.167	0.250	-0.333
🙍	0.845	0.577	0.173	0.250	-0.327
🍱	0.580	0.542	0.229	0.229	-0.313
😑	0.844	0.513	0.285	0.202	-0.311
😠	0.849	0.564	0.172	0.265	-0.299
